scope,stage,metric,value,unit,source
whole_pl,post_route,clock_period,10.000,ns,timing_summary_routed
whole_pl,post_route,clock_frequency,100,MHz,timing_summary_routed
whole_pl,post_route,WNS,0.047,ns,timing_summary_routed
whole_pl,post_route,TNS,0.000,ns,timing_summary_routed
whole_pl,post_route,WHS,0.030,ns,timing_summary_routed
whole_pl,post_route,THS,0.000,ns,timing_summary_routed
whole_pl,post_place,slice_lut,2646,count,utilization_placed
whole_pl,post_place,lut_logic,2480,count,utilization_placed
whole_pl,post_place,lut_memory,166,count,utilization_placed
whole_pl,post_place,slice_register,2388,count,utilization_placed
whole_pl,post_place,slice,1013,count,utilization_placed
whole_pl,post_place,bram_tile,0,count,utilization_placed
whole_pl,post_place,dsp,2,count,utilization_placed
whole_pl,post_place,bufg,1,count,utilization_placed
custom_ip,ooc_synthesis,slice_lut,2045,count,wrapper_0_utilization_synth
custom_ip,ooc_synthesis,slice_register,1558,count,wrapper_0_utilization_synth
custom_ip,ooc_synthesis,bram_tile,0,count,wrapper_0_utilization_synth
custom_ip,ooc_synthesis,dsp,2,count,wrapper_0_utilization_synth
whole_soc,vivado_estimate,total_power,1.414,W,power_routed
whole_soc,vivado_estimate,dynamic_power,1.280,W,power_routed
whole_soc,vivado_estimate,static_power,0.135,W,power_routed
whole_soc,vivado_estimate,junction_temperature,41.3,C,power_routed
custom_ip,vivado_estimate,dynamic_power,0.014,W,power_routed
processing_system,vivado_estimate,dynamic_power,1.258,W,power_routed
whole_pl,post_route,routable_nets,4687,count,route_status
whole_pl,post_route,routing_errors,0,count,route_status
