Final Adaptive DMA benchmark
Waiting for CPU1 load generator...
CPU1 load generator ready
CONFIG,repeats=3,phases=4,samples_per_phase=25,dma_bytes=8388608
SAMPLE_HEADER,repeat,mode,phase,load,sample,cpu_ticks,cpu_cycles,level_before,level_after,dma_command
MODE_BEGIN,CPU_ONLY
SAMPLE,0,CPU_ONLY,OFF_A,0,0,824426,100.63,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,1,824359,100.62,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,2,824433,100.63,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,3,824561,100.65,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,4,824449,100.64,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,5,824336,100.62,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,6,824469,100.64,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,7,824500,100.64,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,8,824377,100.63,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,9,824513,100.64,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,10,824460,100.64,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,11,824362,100.63,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,12,824414,100.63,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,13,824472,100.64,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,14,824437,100.63,255,255,0

SAMPLE,0,CPU_ONLY,OFF_A,0,15,824471,100.64,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,16,824460,100.64,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,17,824330,100.62,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,18,824476,100.64,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,19,824376,100.63,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,20,824490,100.64,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,21,824301,100.62,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,22,824398,100.63,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,23,824373,100.63,255,255,0
