Final Adaptive DMA benchmark
Waiting for CPU1 load generator...
CPU1 load generator ready
CONFIG,repeats=3,phases=4,samples_per_phase=25,dma_bytes=8388608
SAMPLE_HEADER,repeat,mode,phase,load,sample,cpu_ticks,cpu_cycles,level_before,level_after,dma_command
MODE_BEGIN,CPU_ONLY
SAMPLE,0,CPU_ONLY,OFF_A,0,0,778200,94.99,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,1,778483,95.02,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,2,778116,94.98,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,3,778770,95.06,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,4,778559,95.03,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,5,778527,95.03,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,6,779161,95.11,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,7,778772,95.06,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,8,778588,95.04,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,9,778008,94.97,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,10,778923,95.08,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,11,778582,95.04,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,12,778916,95.08,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,13,778439,95.02,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,14,778786,95.06,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,15,778204,94.99,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,16,778747,95.06,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,17,778503,95.03,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,18,778584,95.04,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,19,778467,95.02,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,20,778344,95.01,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,21,778070,94.97,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,22,778714,95.05,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,23,778554,95.03,255,255,0
SAMPLE,0,CPU_ONLY,OFF_A,0,24,778786,95.06,255,255,0
SAMPLE,0,CPU_ONLY,ON_A,1,0,798348,97.45,255,255,0
SAMPLE,0,CPU_ONLY,ON_A,1,1,799833,97.63,255,255,0
SAMPLE,0,CPU_ONLY,ON_A,1,2,797077,97.29,255,255,0
SAMPLE,0,CPU_ONLY,ON_A,1,3,799974,97.65,255,255,0
SAMPLE,0,CPU_ONLY,ON_A,1,4,800892,97.76,255,255,0
SAMPLE,0,CPU_ONLY,ON_A,1,5,799216,97.56,255,255,0
SAMPLE,0,CPU_ONLY,ON_A,1,6,796988,97.28,255,255,0
SAMPLE,0,CPU_ONLY,ON_A,1,7,800917,97.76,255,255,0
SAMPLE,0,CPU_ONLY,ON_A,1,8,799876,97.64,255,255,0
SAMPLE,0,CPU_ONLY,ON_A,1,9,796571,97.23,255,255,0
SAMPLE,0,CPU_ONLY,ON_A,1,10,799922,97.64,255,255,0
SAMPLE,0,CPU_ONLY,ON_A,1,11,800093,97.66,255,255,0
SAMPLE,0,CPU_ONLY,ON_A,1,12,800879,97.76,255,255,0
SAMPLE,0,CPU_ONLY,ON_A,1,13,799831,97.63,255,255,0
