AdaptiveDMA parameter sweep
configs=25,runs=100,dma_bytes=8388608,latency_limit_percent=50
SAMPLE_HEADER,name,run,base_cpu,load_cpu,dma_cycles,r_wait,w_wait,r_windows,w_windows,stall_ar,stall_r,stall_aw,stall_w,stall_b,overlap,checks_ok
SUMMARY_HEADER,name,burst,rd_out,wr_out,rbr_ctrl,threshold,nominal,r_delta_q8,w_delta_q8,base_mean,cpu_mean,p95,p99,target,slowdown_percent,violations,violation_percent,dma_cycles,dma_MiB_per_s,r_wait,w_wait,r_windows,w_windows,stall_ar,stall_r,stall_aw,stall_w,stall_b,errors
SAMPLE,RAW_B1_O1,0,106.43,109.09,33749756,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,1,106.35,109.04,33750463,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,2,106.43,109.05,33750616,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,3,106.29,109.07,33750029,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,4,106.43,109.15,33749777,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,5,106.36,109.08,33750279,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,6,106.43,109.09,33750081,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,7,106.31,109.04,33750279,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,8,106.42,109.09,33750387,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,9,106.36,109.08,33750056,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,10,106.42,109.12,33750146,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,11,106.48,109.10,33749891,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,12,106.34,109.08,33749844,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,13,106.39,109.13,33750349,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,14,106.36,109.06,33749656,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,15,106.29,109.10,33749963,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,16,106.40,109.12,33749584,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,17,106.37,109.01,33750180,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,18,106.34,109.06,33749982,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,19,106.35,109.02,33750196,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,20,106.45,109.10,33750257,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,21,106.40,109.07,33749955,0,0,0,0,0,0,0,0,0,1,1
