name,burst,rd_out,wr_out,rbr_ctrl,threshold,nominal,r_delta_q8,w_delta_q8,base_mean,cpu_mean,p95,p99,target,slowdown_percent,violations,violation_percent,dma_cycles,dma_MiB_per_s,r_wait,w_wait,r_windows,w_windows,stall_ar,stall_r,stall_aw,stall_w,stall_b,errors,base_mean_calc,cpu_mean_calc,cpu_sd,p95_calc,p99_calc,target_calc,slowdown_calc,violations_calc,violation_percent_calc,dma_cycles_calc,throughput_calc,all_overlap,all_checks_ok,group,throughput_percent_of_max,theoretical_utilization_percent,excess_latency_reduction_percent,p99_margin_to_target,target_met,pareto_mean
RAW_B1_O1,1,1,1,0,256,32,0,0,106.37,109.08,109.14,109.15,159.55,2.54,0,0.0,33750265,23.7,0,0,0,0,0,0,0,0,0,0,106.37549999999999,109.0813,0.03994073892985272,109.14,109.15,159.56324999999998,2.5436308172464672,0,0.0,33750265.03,23.703517566125612,1,1,Burst/Outstanding,3.2283150340641926,3.106867454427216,97.34687774242416,50.41324999999998,1,0
RAW_B1_O2,1,2,2,0,256,32,0,0,106.36,110.52,110.84,110.9,159.54,3.91,0,0.0,17201930,46.5,0,0,0,0,524116,0,523672,0,0,0,106.36319999999999,110.5211,0.17006175348972558,110.84,110.9,159.54479999999998,3.909152789686665,0,0.0,17201930.86,46.50640713015864,1,1,Burst/Outstanding,6.333968488000305,6.095687795364153,95.92304788425805,48.644799999999975,1,0
RAW_B1_O4,1,4,4,0,256,32,0,0,106.37,113.66,113.92,114.03,159.55,6.85,0,0.0,8939847,89.48,0,0,0,0,780820,0,780785,0,0,0,106.37549999999999,113.66950000000001,0.1587983601676016,113.92,114.03,159.56324999999998,6.856842035995148,0,0.0,8939847.83,89.48698179351449,1,1,Burst/Outstanding,12.187734072426599,11.729237677639532,92.84800290237335,45.53324999999998,1,0
RAW_B2_O1,2,1,1,0,256,32,0,0,106.37,107.67,107.71,107.72,159.55,1.22,0,0.0,17227111,46.43,0,0,0,0,0,0,0,0,0,0,106.37440000000001,107.67299999999999,0.021248885888797385,107.71,107.72,159.5616,1.2207824438962511,0,0.0,17227111.56,46.43842917100144,1,1,Burst/Outstanding,6.324710188386335,6.0867777883015,98.72668173416811,51.8416,1,1
RAW_B2_O2,2,2,2,0,256,32,0,0,106.38,111.73,112.05,112.11,159.57,5.02,0,0.0,8803105,90.87,0,0,0,0,1,0,1,0,0,0,106.3818,111.73129999999999,0.23952248370877408,112.05,112.11,159.5727,5.028585716729728,0,0.0,8803105.13,90.87702443467239,1,1,Burst/Outstanding,12.37705177786511,11.911433346701381,94.75464649386434,47.4627,1,1
RAW_B2_O4,2,4,4,0,256,32,0,0,106.38,115.2,115.4,115.46,159.57,8.29,0,0.0,4087960,195.69,0,0,0,0,3,0,84,0,0,0,106.3874,115.20559999999999,0.1314358928884868,115.4,115.46,159.5811,8.288763518988151,0,0.0,4087960.9,195.69658799818757,1,1,Burst/Outstanding,26.653016177331835,25.65034318209844,91.35347671972977,44.1211,1,1
RAW_B4_O1,4,1,1,0,256,32,0,0,106.38,114.51,114.54,114.55,159.57,7.64,0,0.0,9223833,86.73,0,0,0,0,0,0,0,0,0,0,106.38069999999999,114.5102,0.01825631203975614,114.54,114.55,159.57104999999999,7.641893689362833,0,0.0,9223833.03,86.73183885680118,1,1,Burst/Outstanding,11.812495699523739,11.368115582638644,92.02876879556406,45.02104999999999,1,0
RAW_B4_O2,4,2,2,0,256,32,0,0,106.36,116.42,117.17,117.3,159.54,9.45,0,0.0,4670739,171.27,0,0,0,0,1,0,1,0,0,0,106.366,116.4282,0.4430572847564489,117.17,117.3,159.549,9.459977812458863,0,0.0,4670739.3,171.27909493899605,1,1,Burst/Outstanding,23.32746081546448,22.44989353184409,90.13369547631771,42.24900000000001,1,0
RAW_B4_O4,4,4,4,0,256,32,0,0,106.37,119.44,119.68,119.81,159.55,12.28,0,0.0,2334535,342.68,0,0,0,0,3,0,3,0,0,0,106.3732,119.44149999999999,0.15194612947563538,119.68,119.81,159.5598,12.285331267650124,0,0.0,2334535.76,342.68055075755194,1,1,Burst/Outstanding,46.67158664556075,44.915825148893845,87.18611959543269,39.74979999999999,1,1
RAW_B8_O1,8,1,1,0,256,32,0,0,106.37,113.47,113.59,113.63,159.55,6.67,0,0.0,5294512,151.09,0,0,0,0,0,0,0,0,0,0,106.3783,113.4786,0.07438665026316031,113.59,113.63,159.56745,6.674575547832595,0,0.0,5294512.95,151.09982873873224,1,1,Burst/Outstanding,20.57913334596717,19.80495675244311,93.03793186286285,45.93745000000001,1,1
